"Cattle and calves, farm and meat production"
"Frequency: Annual"
"Table: 32-10-0125-01 (formerly CANSIM 003-0026)"
"Release date: 2022-02-28"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,
"Livestock statistics","Total slaughterings, farm and meat production 1",,"Inspected slaughterings of farm production 2",,"Uninspected slaughterings of farm production",,"Estimated output of farm production",,"Live imports for slaughter of farm production",,"Live exports of farm production",,"Average cold dressed weight of meat production 3 4 5",,"Edible offal, meat production 4",
"Livestock","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle","Calves","Cattle","Calves"
"Reference period"
,"Head",,,,,,,,,,,,"Kilograms",,"Tonnes",
"1960","2,471.3","1,081.7","1,941.7","712.1","529.6","369.6","2,639.5","1,181.3","4.4","0.6","172.7","100.2","..","..","..",".."
"1961","2,544.1","1,058.2","2,041.5","690.3","502.6","367.9","2,885.0","1,219.8","0.4","0.2","341.3","161.8","..","..","..",".."
"1962","2,572.0","1,090.5","2,028.2","710.2","543.8","380.3","2,820.7","1,332.8","1.3","0.0","250.0","242.3","..","..","..",".."
"1963","2,679.4","1,048.9","2,126.7","671.3","552.7","377.6","2,844.3","1,162.2","0.3","0.0","165.2","113.3","..","..","..",".."
"1964","2,965.8","1,153.7","2,422.3","750.3","543.5","403.4","3,064.2","1,246.5","30.9","0.1","129.3","92.9","..","..","..",".."
"1965","3,367.8","1,302.2","2,734.5","894.7","633.3","407.5","3,741.3","1,541.6","0.0","0.0","373.5","239.4","..","..","..",".."
"1966","3,285.1","1,120.2","2,705.1","765.6","580.0","354.6","3,567.3","1,367.4","7.7","0.0","289.9","247.2","..","..","..",".."
"1967","3,195.4","1,152.2","2,641.8","738.8","553.6","413.4","3,316.9","1,268.5","24.1","0.0","145.6","116.3","..","..","..",".."
"1968","3,334.2","1,051.2","2,784.3","668.4","549.9","382.8","3,519.9","1,217.0","1.3","0.0","187.0","165.8","..","..","..",".."
"1969","3,176.9","894.1","2,718.6","580.1","458.3","314.0","3,288.7","1,024.5","0.3","0.0","112.1","130.4","..","..","..",".."
"1970","3,164.6","856.7","2,700.8","499.2","463.8","357.5","3,227.7","987.3","53.3","0.0","116.4","130.6","..","..","..",".."
"1971","3,343.1","811.0","2,786.9","464.2","556.2","346.8","3,393.0","950.8","55.5","0.0","105.4","139.8","..","..","..",".."
"1972","3,490.1","643.5","2,878.6","402.4","611.5","241.1","3,569.2","800.0","64.0","0.0","143.1","156.5","..","..","..",".."
"1973","3,443.2","510.3","2,878.1","291.5","565.1","218.8","3,445.9","724.8","208.5","0.6","211.2","215.1","..","..","..",".."
"1974","3,675.8","607.9","2,975.8","392.8","700.0","215.1","3,629.5","698.4","109.2","0.0","62.9","90.5","..","..","..",".."
"1975","4,237.7","962.8","3,337.7","682.1","900.0","280.7","4,392.9","938.7","41.9","50.7","197.1","26.6","..","..","..",".."
"1976","4,476.3","1,003.7","3,676.3","655.4","800.0","348.3","4,669.1","1,102.8","133.2","52.7","326.0","151.8","248.4","53.5","41,822","2,049"
"1977","4,374.7","976.8","3,761.4","645.6","613.3","331.2","4,629.3","1,107.0","33.4","17.4","288.0","147.6","249.7","51.2","41,045","1,994"
"1978","3,992.5","771.5","3,429.8","494.5","562.7","277.0","4,231.2","945.6","47.6","8.2","286.3","182.3","256.5","50.7","37,456","1,575"
"1979","3,433.8","533.3","2,954.3","324.9","479.5","208.4","3,613.7","697.0","19.9","5.6","199.8","169.3","267.3","55.5","32,219","1,089"
"1980","3,525.7","531.3","3,059.5","337.3","466.2","194.0","3,712.7","675.8","22.8","4.3","209.8","148.8","266.3","60.1","33,108","1,085"
"1981","3,691.3","561.7","3,508.2","479.0","183.1","82.7","3,795.6","708.2","80.3","20.2","184.6","166.7","265.0","63.2","34,657","1,147"
"1982","3,788.1","597.7","3,603.8","517.1","184.3","80.6","4,033.9","770.4","71.5","14.9","317.3","187.6","260.4","64.7","35,579","1,220"
"1983","3,708.8","618.8","3,536.9","540.4","171.9","78.4","3,897.2","723.6","77.5","12.4","265.9","117.2","267.7","64.2","34,851","1,263"
"1984","3,565.9","651.9","3,400.9","573.4","165.0","78.5","3,830.2","746.9","29.9","17.7","294.2","112.7","266.0","64.9","33,508","1,331"
"1985","3,603.0","631.8","3,447.7","552.9","155.3","78.9","3,886.3","672.1","51.5","6.1","334.8","46.4","273.5","68.9","33,867","1,290"
"1986","3,511.4","591.6","3,417.7","548.3","93.7","43.3","3,671.5","608.1","60.9","10.4","221.0","26.9","280.6","72.9","33,047","1,208"
"1987","3,194.5","509.8","3,161.9","500.3","32.6","9.5","3,362.5","533.9","66.0","9.3","234.0","33.4","285.8","79.3","30,108","1,041"
"1988","3,086.3","491.4","3,052.3","482.0","34.0","9.4","3,515.6","533.0","31.8","4.9","461.1","46.5","293.8","82.4","29,079","1,003"
"1989","3,121.0","502.9","3,089.0","494.2","32.0","8.7","3,526.3","555.7","39.6","1.1","444.9","53.9","291.1","86.6","29,421","1,027"
